NOTICE_REF,NOTICE_TITLE,NOTICE_DATETIME,NOTICE_CONTENT
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130246.htm,京沪高速双向四环至五环路出口路段交通流量大,2016_06_06,京沪高速双向四环至五环路出口路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130245.htm,机场高速出京三元桥至五元桥路段交通流量大,2016_06_06,机场高速出京方向三元桥至五元桥路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130219.htm,机场高速出京方向大山子路段交通事故处理完毕,2016_06_06,机场高速出京方向大山子路段交通事故处理完毕。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130203.htm,京哈高速出京郎府附近车辆交通事故处理完毕,2016_06_04,京哈高速出京方向郎府附近车辆交通事故处理完毕。(市交通委TOCC与首发集团联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160603_130187.htm,18:00轨道客流状态信息,2016_06_03,轨道交通：国贸站（10号线换1号线）、惠新西街南口站（10号线换5号线劲松方向）、宣武门站（2号线换4号线）、惠新西街南口站（10号线换5号线巴沟方向）、知春路站（10号线换13号线）换乘通道内乘客较多，请您相互谦让，按序通行。(市交通委TOCC提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130238.htm,京通快速进京方向四惠东站附近主路上故障车离开,2016_06_06,京通快速进京方向四惠东站附近主路上故障车离开，交通恢复正常。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130218.htm,京沪高速双向四环至亦庄开发区出口路段交通流量大,2016_06_06,京沪高速双向四环至亦庄开发区出口路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130202.htm,京哈高速出京郎府发生车辆交通事故,2016_06_04,京哈高速出京方向郎府附近发生车辆交通事故，占用出京方向内侧3条行车道及进京方向最内侧行车道。请途经车辆注意避让，小心驾驶。(市交通委TOCC与首发集团联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130186.htm,机场高速出京三元桥至五元桥路段交通流量大,2016_06_03,机场高速出京方向三元桥至五元桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130237.htm,京承高速出京南圈桥附近发生交通事故,2016_06_06,京承高速出京方向南圈桥附近发生交通事故，占用中间和外侧行车道。请过往车辆及时避让，注意行车安全。(市交通委TOCC与通达京承公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130217.htm,机场高速出京大山子发生交通事故,2016_06_06,机场高速出京方向大山子路段发生交通事故，造成四元桥至大山子路段交通压力集中。请途经车辆注意避让，安全行车。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130201.htm,机场高速进京温榆桥至苇沟交通恢复正常,2016_06_04,机场高速进京方向温榆桥至苇沟路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130185.htm,京沪高速双向四环至五环路出口路段交通流量大,2016_06_03,京沪高速双向四环至五环路出口路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130236.htm,京通快速进京四惠东站附近主路上发生车辆故障,2016_06_06,京通快速进京方向四惠东站附近主路上发生车辆故障，导致后方车辆交通压力集中。请途经车辆注意避让，安全行车。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130216.htm,机场高速进京温榆桥至大山子交通流量大,2016_06_06,机场高速进京方向温榆桥至大山子路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130200.htm,机场高速出京五元桥交通恢复正常,2016_06_04,机场高速出京方向五元桥路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130183.htm,机场高速出京大山子至五元桥路段交通流量大,2016_06_03,机场高速出京方向大山子至五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130235.htm,京新高速进京德胜口隧道入口北临时交通管制结束,2016_06_06,京新高速进京方向德胜口隧道入口北临时交通管制结束，交通恢复正常。(市交通委TOCC与首发集团联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130215.htm,京通快速进京京通进京跨河桥至双桥交通流量大,2016_06_06,京通快速进京方向京通进京跨河桥至双桥路段交通流量大。请准备出行的朋友避开高峰时段和路段，选择适当的绕行路线，以免影响您的出行计划。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130199.htm,机场高速进京温榆桥至苇沟交通流量大,2016_06_04,机场高速进京方向温榆桥至苇沟路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130182.htm,机场高速出京四元桥至五元桥路段交通流量大,2016_06_03,机场高速出京方向四元桥至五元桥路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130233.htm,京新高速进京德胜口隧道入口北采取临时交通管制,2016_06_06,京新高速进京方向德胜口隧道入口北采取临时交通管制，造成后方交通压力集中。请提前绕行，给您的出行带来不便，敬请谅解。(市交通委TOCC与首发集团联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130214.htm,机场高速出京五元桥交通流量大,2016_06_06,机场高速出京方向五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130198.htm,机场高速出京五元桥交通流量大,2016_06_04,机场高速出京方向五元桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160603_130181.htm,地铁1号线木樨地站西北口采取临时封闭措施,2016_06_03,自今日15时起，地铁1号线木樨地站西北口（A1、A2口)采取临时封闭措施，乘客可从其他出入口进出站。（市交通委TOCC与地铁运营公司联合提供）
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130232.htm,机场高速进京大山子交通恢复正常,2016_06_06,机场高速进京方向大山子路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130213.htm,机场高速进京温榆桥至苇沟交通流量大,2016_06_06,机场高速进京方向温榆桥至苇沟路段交通流量大。请准备出行的朋友避开高峰时段和路段，选择适当的绕行路线，以免影响您的出行计划。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130197.htm,机场高速出京三元桥至五元桥路段交通流量大,2016_06_04,机场高速出京方向三元桥至五元桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130177.htm,机场高速进京北皋至大山子交通恢复正常,2016_06_03,机场高速进京方向北皋至大山子路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130231.htm,机场高速进京方向大山子路段交通流量大,2016_06_06,机场高速进京方向大山子路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130212.htm,机场高速进京温榆桥至苇沟交通恢复正常,2016_06_05,机场高速进京方向温榆桥至苇沟路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130196.htm,机场高速出京三元桥至四元桥、五元桥路段交通流量大,2016_06_04,机场高速出京方向三元桥至四元桥、五元桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130176.htm,京沪高速双向四环至亦庄开发区出口路段交通恢复正常,2016_06_03,京沪高速双向四环至亦庄开发区出口路段交通恢复正常。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130230.htm,京沪高速双向四环至亦庄开发区出口路段交通恢复正常,2016_06_06,京沪高速双向四环至亦庄开发区出口路段交通恢复正常。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130211.htm,京沪高速进京廊坊至采育路段交通恢复正常,2016_06_05,京沪高速进京方向廊坊至采育路段交通恢复正常。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130195.htm,京沪高速出京采育至廊坊路段交通恢复正常,2016_06_04,京沪高速出京方向采育至廊坊路段交通恢复正常。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130175.htm,京通快速进京京通进京跨河桥至双桥交通恢复正常,2016_06_03,京通快速进京方向京通进京跨河桥至双桥路段交通恢复正常。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130229.htm,京通快速路进京京通进京跨河桥至双桥路段交通恢复正常,2016_06_06,京通快速路进京方向京通进京跨河桥至双桥路段交通恢复正常。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130210.htm,机场高速出京大山子至五元桥交通恢复正常,2016_06_05,机场高速出京方向大山子至五元桥路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130194.htm,京沪高速出京采育至廊坊路段交通流量大,2016_06_04,京沪高速出京方向河北路段事故处理完毕，采育至廊坊路段交通压力集中。请途经车辆注意安全驾驶。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130174.htm,京通快速进京京通进京跨河桥至双桥交通恢复正常,2016_06_03,京通快速进京方向京通进京跨河桥至双桥路段交通恢复正常。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130224.htm,机场高速出京大山子至五元桥交通恢复正常,2016_06_06,机场高速出京方向大山子至五元桥路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130209.htm,京沪高速进京廊坊至采育路段交通流量大,2016_06_05,受应寺检查站入口处故障车影响，京沪高速进京方向廊坊至采育路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130193.htm,机场高速出京五元桥路段交通恢复正常,2016_06_04,机场高速出京方向五元桥路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130170.htm,机场高速进京北皋至大山子交通流量大,2016_06_03,机场高速进京方向北皋至大山子路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130223.htm,机场高速出京大山子至五元桥路段交通流量大,2016_06_06,机场高速出京方向大山子至五元桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130208.htm,京承高速出京大秦铁路桥下事故处理完毕,2016_06_05,京承高速出京方向大秦铁路桥下事故处理完毕。(市交通委TOCC与通达京承高速公路联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130192.htm,机场高速出京五元桥路段交通流量大,2016_06_04,机场高速出京方向五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160603_130169.htm,地铁2号线前门站东北口（A口）采取临时封闭措施,2016_06_03,自即时起至末班车止，地铁2号线前门站东北口（A口）采取临时封闭措施，乘客可从其他出入口进出站。（市交通委TOCC与地铁运营公司联合提供）
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160606_130222.htm,地铁呼家楼站客流较大,2016_06_06,地铁呼家楼站客流较大，为缓解10号线客流压力，地铁6号线下行（开往海淀五路居方向）呼家楼站部分列车通过不停车。(市交通委TOCC与地铁运营公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130207.htm,机场高速出京大山子至五元桥路段交通流量大,2016_06_05,机场高速出京方向大山子至五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160604_130191.htm,京沪高速出京采育至廊坊路段交通流量大,2016_06_04,受河北段事故影响，京沪高速出京方向采育至廊坊路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130166.htm,京通快速进京京通进京跨河桥至双桥路段交通流量大,2016_06_03,京通快速进京方向京通进京跨河桥至双桥路段交通流量大。请准备出行的朋友避开高峰时段和路段，选择适当的绕行路线，以免影响您的出行计划。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130221.htm,机场高速出京三元桥至五元桥交通流量大,2016_06_06,机场高速出京方向三元桥至五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130206.htm,机场高速进京温榆桥至苇沟路段交通流量大,2016_06_05,机场高速进京方向温榆桥至苇沟路段交通流量大。请准备出行的朋友避开高峰时段和路段，选择适当的绕行路线，以免影响您的出行计划。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130190.htm,机场高速出京大山子至五元桥路段交通恢复正常,2016_06_03,机场高速出京方向大山子至五元桥路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130165.htm,机场高速进京苇沟至大山子交通流量大,2016_06_03,机场高速进京方向苇沟至大山子路段交通流量大。请准备出行的朋友避开高峰时段和路段，选择适当的绕行路线，以免影响您的出行计划。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160606_130220.htm,8:00轨道客流状态信息,2016_06_06,轨道交通：国贸站（10号线换1号线）、宣武门站（4号线换2号线）、惠新西街南口站（10号线换5号线劲松方向）、雍和宫站（2号线换5号线)、知春路站换乘通道乘客较多，请您相互谦让，按序通行。（市交通委TOCC提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130205.htm,京开高速双向三融施工结束,2016_06_05,京开高速双向三融施工结束。(市交通委TOCC与首发集团联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130189.htm,机场高速出京大山子至五元桥路段交通流量大,2016_06_03,机场高速出京方向大山子至五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160603_130164.htm,8:00轨道客流状态信息,2016_06_03,轨道交通：国贸站（10号线换1号线）、宣武门站（4号线换2号线）、东单站（1号线换5号线）、惠新西街南口站（10号线换5号线劲松方向）、海淀黄庄站换乘通道乘客较多，请您相互谦让，按序通行。（市交通委TOCC提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160605_130204.htm,京承高速出京大秦铁路桥下发生交通事故,2016_06_05,京承高速出京方向大秦铁路桥下发生交通事故，占用内侧和外侧行车道。请途经车辆提前选择绕行出口，以免影响您的行程。(市交通委TOCC与通达京承高速公路联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130188.htm,京沪高速双向四环至五环路出口路段交通恢复正常,2016_06_03,京沪高速双向四环至五环路出口路段交通恢复正常。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160603_130163.htm,轨道交通早高峰客流信息,2016_06_03,10号线国贸至金台夕照区间段车厢内乘客较多，较为拥挤。八通线四惠站站台候车乘客较多。（市交通委TOCC提供)
NOTICE_REF,NOTICE_TITLE,NOTICE_DATETIME,NOTICE_CONTENT
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130246.htm,京沪高速双向四环至五环路出口路段交通流量大,2016_06_06,京沪高速双向四环至五环路出口路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130245.htm,机场高速出京三元桥至五元桥路段交通流量大,2016_06_06,机场高速出京方向三元桥至五元桥路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130219.htm,机场高速出京方向大山子路段交通事故处理完毕,2016_06_06,机场高速出京方向大山子路段交通事故处理完毕。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160601_130091.htm,地铁呼家楼站客流较大,2016_06_01,地铁呼家楼站客流较大，为缓解10号线客流压力，地铁6号线下行（开往海淀五路居方向）呼家楼站部分列车通过不停车。(市交通委TOCC与地铁运营公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts//gdjts/201606/t20160603_130187.htm,18:00轨道客流状态信息,2016_06_03,轨道交通：国贸站（10号线换1号线）、惠新西街南口站（10号线换5号线劲松方向）、宣武门站（2号线换4号线）、惠新西街南口站（10号线换5号线巴沟方向）、知春路站（10号线换13号线）换乘通道内乘客较多，请您相互谦让，按序通行。(市交通委TOCC提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201605/t20160530_130011.htm,机场高速出京大山子至五元桥交通流量大,2016_05_30,机场高速出京方向大山子至五元桥路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130238.htm,京通快速进京方向四惠东站附近主路上故障车离开,2016_06_06,京通快速进京方向四惠东站附近主路上故障车离开，交通恢复正常。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130218.htm,京沪高速双向四环至亦庄开发区出口路段交通流量大,2016_06_06,京沪高速双向四环至亦庄开发区出口路段交通流量大。请各位司机朋友注意行车安全。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160601_130090.htm,机场高速进京北皋至大山子路段交通流量大,2016_06_01,机场高速进京方向北皋至大山子路段交通流量大。请准备出行的朋友避开高峰时段和路段，选择适当的绕行路线，以免影响您的出行计划。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130186.htm,机场高速出京三元桥至五元桥路段交通流量大,2016_06_03,机场高速出京方向三元桥至五元桥路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201605/t20160530_130010.htm,机场高速进京温榆桥至大山子交通流量大,2016_05_30,机场高速进京方向温榆桥至大山子路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130237.htm,京承高速出京南圈桥附近发生交通事故,2016_06_06,京承高速出京方向南圈桥附近发生交通事故，占用中间和外侧行车道。请过往车辆及时避让，注意行车安全。(市交通委TOCC与通达京承公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160606_130217.htm,机场高速出京大山子发生交通事故,2016_06_06,机场高速出京方向大山子路段发生交通事故，造成四元桥至大山子路段交通压力集中。请途经车辆注意避让，安全行车。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160601_130089.htm,机场高速出京五元桥路段交通恢复正常,2016_06_01,机场高速出京方向五元桥路段交通恢复正常。(市交通委TOCC与机场高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201606/t20160603_130185.htm,京沪高速双向四环至五环路出口路段交通流量大,2016_06_03,京沪高速双向四环至五环路出口路段交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与华北高速公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201605/t20160530_130009.htm,京通快速进京京通进京跨河桥至双桥交通流量大,2016_05_30,京通快速进京方向京通进京跨河桥至双桥交通流量大。请途经车辆注意安全驾驶。(市交通委TOCC与京通快速路公司联合提供)
http://www.btic.org.cn/xxzx/jtxxfw/cxts/gllk/201605/t20160531_130073.htm,京沪高速双向四环至五环路出口路段交通流量大,2016_05_31,京沪高速双向四环至五环路出口路段交通流量大。请途经车辆注意控制车速，集中精力，安全驾驶。(市交通委TOCC与华北高速公司联合提供)
